      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   8671,         12625,            3955,              0,     57785,           0,          0
   8672,         12626,            3955,              0,     57802,           0,          0
   8673,         12627,            3955,              0,     57796,           0,          0
   8674,         12628,            3955,              0,     57857,           0,          0
   8675,         12629,            3955,              0,     57824,           0,          0
   8676,         12633,            3958,              0,     57860,           0,          0
   8677,         12637,            3961,              0,     57853,           0,          0
   8678,         12638,            3961,              0,     57915,           0,          0
   8679,         12639,            3961,              0,     57874,           0,          0
   8680,         12640,            3961,              0,     57835,           0,          0
   8681,         12642,            3962,              0,     57841,           0,          0
   8682,         12645,            3964,              0,     57846,           0,          0
   8683,         12646,            3964,              0,     57850,           0,          0
   8684,         12647,            3964,              0,     57872,           0,          0
   8685,         12648,            3964,              0,     57862,           0,          0
   8686,         12649,            3964,              0,     57903,           0,          0
   8687,         12651,            3965,              0,     57931,           0,          0
   8688,         12653,            3966,              0,     57925,           0,          0
   8689,         12654,            3966,              0,     57945,           0,          0
   8690,         12657,            3968,              0,     57932,           0,          0
   8691,         12658,            3968,              0,     57928,           0,          0
   8692,         12659,            3968,              0,     57958,           0,          0
   8693,         12660,            3968,              0,     57951,           0,          0
   8694,         12661,            3968,              0,     58015,           0,          0
   8695,         12662,            3968,              0,     57995,           0,          0
   8696,         12663,            3968,              0,     57971,           0,          0
   8697,         12664,            3968,              0,     57986,           0,          0
   8698,         12666,            3969,              0,     57995,           0,          0
   8699,         12668,            3970,              0,     57993,           0,          0
   8700,         12669,            3970,              0,     58035,           0,          0
   8701,         12670,            3970,              0,     58047,           0,          0
   8702,         12671,            3970,              0,     58021,           0,          0
   8703,         12672,            3970,              0,     57999,           0,          0
   8704,         12673,            3970,              0,     58078,           0,          0
   8705,         12674,            3970,              0,     58080,           0,          0
   8706,         12676,            3971,              0,     58079,           0,          0
   8707,         12677,            3971,              0,     58112,           0,          0
   8708,         12678,            3971,              0,     58110,           0,          0
   8709,         12679,            3971,              0,     58095,           0,          0
   8710,         12681,            3972,              0,     58066,           0,          0
   8711,         12684,            3974,              0,     58100,           0,          0
   8712,         12685,            3974,              0,     58113,           0,          0
   8713,         12686,            3974,              0,     58109,           0,          0
   8714,         12687,            3974,              0,     58081,           0,          0
   8715,         12690,            3976,              0,     58104,           0,          0
   8716,         12691,            3976,              0,     58126,           0,          0
   8717,         12692,            3976,              0,     58124,           0,          0
   8718,         12693,            3976,              0,     58132,           0,          0
   8719,         12694,            3976,              0,     58116,           0,          0
   8720,         12695,            3976,              0,     58124,           0,          0
   8721,         12696,            3976,              0,     58130,           0,          0
   8722,         12697,            3976,              0,     58163,           0,          0
   8723,         12698,            3976,              0,     58162,           0,          0
   8724,         12699,            3976,              0,     58172,           0,          0
   8725,         12701,            3977,              0,     58176,           0,          0
   8726,         12703,            3978,              0,     58159,           0,          0
   8727,         12705,            3979,              0,     58197,           0,          0
