   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
259,16796,16542,13523,1754,0,2000
260,16854,16599,11018,1748,0,1006
261,17113,16857,11519,1759,0,999
262,17342,17085,10510,1776,0,1000
263,17597,17339,10508,1785,0,0
264,17803,17544,11512,1796,0,999
265,17876,17616,10518,1803,0,1506
266,17925,17664,11028,1804,0,2004
267,18047,17785,18030,1823,0,1000
268,18259,17996,17024,1816,0,1014
269,18350,18086,16502,1826,0,0
270,18510,18245,13539,1847,0,1000
271,18687,18421,15121,1848,0,0
272,18949,18682,13961,1868,0,999
273,18988,18720,14212,1876,0,1504
274,19048,18779,15522,1879,0,999
275,19146,18876,12512,1889,0,1045
276,19338,19067,15516,1895,0,0
277,19443,19171,13550,1907,0,1001
278,19464,19191,12012,1905,0,0
279,19523,19249,13513,1914,0,0
280,19673,19398,12842,1919,0,1000
281,19787,19511,12513,1925,0,1000
282,20023,19746,11511,1947,0,1000
283,20118,19840,12022,1948,0,1007
284,20314,20035,11512,1956,0,999
285,20320,20040,12516,1965,0,999
286,20573,20292,11047,1975,0,1507
287,20582,20300,13522,1989,0,0
288,20603,20320,12511,1992,0,1000
289,20724,20440,12087,2001,0,1936
290,20929,20644,14034,2013,0,0
291,21152,20866,13016,2019,0,0
292,21410,21123,12112,2032,0,998
293,21682,21394,14008,2036,0,0
294,21843,21554,12025,2045,0,1000
295,21889,21599,13512,2067,0,0
296,22050,21759,12515,2050,0,1506
297,22113,21821,13521,2061,0,0
298,22281,21988,12510,2070,0,999
299,22519,22225,13027,2082,0,998
300,22660,22365,14028,2096,0,0
301,22837,22541,13070,2099,0,956
302,23000,22703,13505,2105,0,1001
303,23234,22936,13510,2111,0,0
304,23500,23201,14020,2118,0,999
305,23716,23416,13510,2124,0,1503
306,23835,23534,18376,2146,0,1505
307,23868,23566,13021,2147,0,2001
308,23956,23653,13504,2166,0,0
309,24159,23855,13516,2171,0,1000
310,24283,23978,14512,2167,0,999
311,24463,24157,13976,2182,0,1000
312,24640,24333,16019,2195,0,1000
313,24713,24405,14526,2207,0,999
314,24913,24604,16019,2211,0,1001
315,25215,24905,15509,2222,0,1044
316,25412,25101,16511,2231,0,0
317,25450,25138,14712,2235,0,997
318,25563,25250,15663,2247,0,1005
319,25664,25350,15017,2262,0,1000
320,25723,25408,17021,2264,0,1000
321,25726,25410,15002,2273,0,1003
322,25838,25521,16298,2284,0,1001
323,26112,25794,16012,2293,0,0
324,26117,25798,15017,2307,0,503
325,26323,26003,16020,2320,0,998
326,26505,26184,18032,2323,0,999
327,26575,26253,16015,2328,0,1017
328,26701,26378,15279,2335,0,0
329,26782,26458,16864,2344,0,999
330,26802,26477,16031,2345,0,1000
331,27120,26794,15523,2360,0,1003
332,27125,26798,16568,2350,0,981
333,27374,27046,16014,2363,0,999
334,27404,27075,15582,2384,0,1000
335,27492,27162,15510,2390,0,0
336,27510,27179,16025,2409,0,1000
337,27759,27427,15539,2421,0,1000
338,27898,27565,19065,2421,0,0
339,27964,27630,16015,2431,0,998
340,28161,27826,15506,2437,0,1503
341,28339,28003,17513,2439,0,1001
342,28539,28202,16514,2440,0,1003
343,28844,28506,18084,2460,0,1002
344,28864,28525,16021,2476,0,999
345,28870,28530,16508,2486,0,1504
346,29148,28807,17179,2492,0,1000
347,29470,29128,18017,2504,0,999
348,29595,29252,17521,2508,0,2001
